        # Block          VALUE    ERROR_VALUE             MU          SIGMA
            231      -0.432712     0.00141865       0.762604       0.648583
            232      -0.432885     0.00149647       0.762079       0.646311
            233       -0.43717     0.00153649       0.762424       0.644866
            234      -0.438548     0.00149552       0.764046       0.640146
            235      -0.438385     0.00150326       0.767806       0.638586
            236      -0.438385     0.00150326       0.767806       0.638586
            237      -0.438331     0.00151738       0.765453       0.636005
            238      -0.438949     0.00140867       0.761882       0.629739
            239      -0.437016     0.00134848       0.762856        0.63155
            240      -0.437161     0.00143003       0.759053       0.629952
            241      -0.439242     0.00107783        0.75855       0.632318
            242      -0.439242     0.00107783        0.75855       0.632318
            243      -0.439242     0.00107783        0.75855       0.632318
            244      -0.439242     0.00107783        0.75855       0.632318
            245      -0.438784     0.00141146       0.757953       0.633313
            246      -0.438784     0.00141146       0.757953       0.633313
            247      -0.438784     0.00141146       0.757953       0.633313
            248      -0.438784     0.00141146       0.757953       0.633313
            249      -0.438784     0.00141146       0.757953       0.633313
            250      -0.438784     0.00141146       0.757953       0.633313
            251      -0.437823     0.00120964       0.758897        0.63181
            252      -0.438094     0.00155629       0.756293       0.631583
            253      -0.437593     0.00129051       0.756526       0.629631
            254      -0.437643     0.00113174       0.757843       0.627782
            255      -0.436914      0.0015303        0.75799       0.626848
            256      -0.436347     0.00165482         0.7561       0.627582
            257      -0.436347     0.00165482         0.7561       0.627582
            258      -0.436291     0.00134592       0.756484          0.627
            259      -0.437729     0.00112983       0.758717       0.627938
            260      -0.439014     0.00151403        0.75791       0.628916
            261      -0.439014     0.00151403        0.75791       0.628916
            262      -0.439014     0.00151403        0.75791       0.628916
            263      -0.438106     0.00132235       0.757565       0.629707
            264      -0.438106     0.00132235       0.757565       0.629707
            265      -0.437807     0.00140847       0.759322       0.630948
            266      -0.437807     0.00140847       0.759322       0.630948
            267      -0.437807     0.00140847       0.759322       0.630948
