#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         398     2.18276     2.17935  0.00123213
         399     2.17968     2.17935  0.00122905
         400     2.17974     2.17935  0.00122597
         401     2.18389     2.17936  0.00122297
         402      2.1894     2.17938  0.00122018
         403     2.19384     2.17942  0.00121768
         404     2.19748     2.17946  0.00121549
         405     2.20126     2.17952  0.00121368
         406     2.20597     2.17958  0.00121244
         407     2.21182     2.17966  0.00121204
         408     2.21738     2.17975  0.00121259
         409     2.21992     2.17985   0.0012136
         410     2.21641     2.17994  0.00121391
         411     2.20464        2.18  0.00121244
         412     2.18757     2.18002  0.00120964
         413      2.1779     2.18002  0.00120672
         414     2.18348     2.18002  0.00120383
         415     2.19408     2.18006  0.00120141
         416     2.19996     2.18011  0.00119947
         417      2.2013     2.18016  0.00119767
         418     2.20135     2.18021  0.00119588
         419      2.2019     2.18026  0.00119414
         420     2.20298     2.18031  0.00119253
         421       2.204     2.18037  0.00119102
         422     2.20436     2.18043  0.00118955
         423     2.20338     2.18048  0.00118798
         424     2.20005     2.18053  0.00118607
         425     2.19354     2.18056  0.00118368
         426     2.18439     2.18057  0.00118093
         427     2.17504     2.18055  0.00117824
         428     2.16781     2.18052  0.00117586
         429     2.16315     2.18048  0.00117382
         430     2.16299     2.18044  0.00117179
         431     2.17022     2.18042  0.00116931
         432     2.18211     2.18042  0.00116661
         433     2.19196     2.18045  0.00116422
         434     2.19494     2.18048  0.00116202
         435     2.18921      2.1805  0.00115952
         436     2.17627     2.18049   0.0011569
         437     2.16354     2.18045  0.00115491
         438     2.16163     2.18041  0.00115307
         439     2.17223     2.18039  0.00115059
         440     2.18578      2.1804  0.00114804
         441     2.19447     2.18044  0.00114588
         442     2.19736     2.18047  0.00114393
         443     2.19671     2.18051  0.00114193
         444     2.19505     2.18054  0.00113983
         445     2.19418     2.18057  0.00113768
         446     2.19479     2.18061  0.00113558
         447      2.1964     2.18064  0.00113359
         448     2.19785     2.18068  0.00113171
         449     2.19788     2.18072  0.00112983
         450     2.19537     2.18075  0.00112779
         451     2.18955     2.18077  0.00112546
         452     2.18042     2.18077  0.00112297
         453     2.16991     2.18075  0.00112075
         454     2.16334     2.18071  0.00111893
         455     2.16705     2.18068  0.00111688
         456     2.18132     2.18068  0.00111443
         457     2.19925     2.18072  0.00111273
         458     2.21435     2.18079  0.00111272
         459     2.22424     2.18089  0.00111432
         460     2.22895     2.18099  0.00111678
         461       2.229      2.1811  0.00111921
         462     2.22493     2.18119   0.0011208
         463     2.21754     2.18127  0.00112112
         464     2.20807     2.18133  0.00112019
         465     2.19759     2.18136  0.00111833
         466     2.18572     2.18137  0.00111597
         467      2.1711     2.18135   0.0011138
         468     2.15547     2.18129  0.00111279
         469      2.1465     2.18122  0.00111289
         470     2.15319     2.18116  0.00111211
         471     2.17477     2.18115  0.00110984
         472      2.1976     2.18118  0.00110803
         473       2.208     2.18124  0.00110714
         474     2.20128     2.18128  0.00110561
         475     2.18206     2.18128  0.00110328
         476     2.16449     2.18125  0.00110153
         477      2.1658     2.18121   0.0010997
         478     2.18627     2.18123  0.00109745
         479     2.20836     2.18128  0.00109662
         480     2.22087     2.18136  0.00109743
         481     2.22402     2.18145  0.00109873
         482     2.22139     2.18154  0.00109957
         483     2.21599     2.18161   0.0010996
         484     2.20996     2.18167  0.00109889
         485      2.2047     2.18171  0.00109765
         486     2.20129     2.18175  0.00109613
         487     2.20073     2.18179  0.00109457
         488     2.20198     2.18183  0.00109311
         489     2.20031     2.18187  0.00109153
         490     2.19131     2.18189  0.00108947
         491     2.17905     2.18189  0.00108727
         492     2.17361     2.18187  0.00108519
         493     2.17303     2.18185  0.00108313
         494     2.16767     2.18182  0.00108132
         495     2.16054     2.18178  0.00107999
         496     2.16298     2.18174  0.00107848
         497     2.17765     2.18173  0.00107634
         498     2.19634     2.18176  0.00107458
         499     2.21017     2.18182  0.00107393
         500     2.21504     2.18189  0.00107384
         501     2.21044     2.18194   0.0010732
         502     2.19839     2.18198  0.00107157
         503     2.18481     2.18198  0.00106945
         504     2.17815     2.18197  0.00106736
         505      2.1825     2.18197  0.00106524
         506     2.19465       2.182  0.00106343
         507     2.20873     2.18205  0.00106264
         508     2.22082     2.18213  0.00106329
         509      2.2295     2.18222  0.00106526
