#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         403     13.8359     16.2954     0.13183
         404     13.8432     16.2893    0.131643
         405     13.8579     16.2833    0.131455
         406     13.9023     16.2775    0.131262
         407     13.9679     16.2718    0.131062
         408     14.0288     16.2663    0.130856
         409     14.0724     16.2609    0.130646
         410     14.1018     16.2557    0.130434
         411     14.1229     16.2505    0.130219
         412     14.1376     16.2453    0.130004
         413     14.1446     16.2402    0.129789
         414     14.1424     16.2352    0.129574
         415     14.1312     16.2301    0.129361
         416     14.1146      16.225     0.12915
         417      14.098     16.2199    0.128941
         418     14.0857     16.2148    0.128734
         419     14.0749     16.2097    0.128528
         420     14.0569     16.2046    0.128324
         421     14.0249     16.1994    0.128123
         422     13.9823     16.1942    0.127928
         423     13.9436     16.1888    0.127736
         424     13.9268     16.1835    0.127546
         425     13.9406     16.1782    0.127355
         426     13.9769     16.1731    0.127161
         427     14.0158      16.168    0.126963
         428     14.0405      16.163    0.126764
         429     14.0483     16.1581    0.126564
         430     14.0457     16.1532    0.126365
         431     14.0322     16.1483    0.126168
         432     13.9958     16.1433    0.125974
         433     13.9333     16.1382    0.125786
         434      13.869      16.133    0.125605
         435     13.8399     16.1277    0.125427
         436     13.8611     16.1225    0.125247
         437     13.9155     16.1174    0.125062
         438     13.9806     16.1126    0.124872
         439     14.0459     16.1078    0.124676
         440     14.1039     16.1033    0.124476
         441     14.1401     16.0988    0.124273
         442     14.1377     16.0944    0.124071
         443     14.0843     16.0899    0.123874
         444     13.9764     16.0851    0.123687
         445     13.8292       16.08    0.123512
         446     13.6988     16.0747    0.123351
         447     13.6676     16.0693    0.123192
         448     13.7604     16.0642    0.123025
         449     13.9102     16.0594    0.122845
         450     14.0395     16.0549    0.122654
         451     14.1199     16.0506    0.122457
         452     14.1582     16.0464    0.122257
         453     14.1698     16.0423    0.122058
         454     14.1658     16.0381    0.121859
         455      14.152      16.034    0.121661
         456     14.1309     16.0298    0.121466
         457      14.105     16.0256    0.121273
         458     14.0795     16.0213    0.121083
         459     14.0621     16.0171    0.120894
         460     14.0607     16.0128    0.120706
         461     14.0776     16.0086    0.120517
         462     14.1072     16.0045    0.120327
         463     14.1376     16.0005    0.120135
         464     14.1525     15.9965    0.119942
         465     14.1327     15.9925    0.119751
         466     14.0657     15.9883    0.119565
         467     13.9689      15.984    0.119387
         468     13.8981     15.9796    0.119215
         469     13.8901     15.9751    0.119044
         470     13.9176     15.9707    0.118871
         471     13.9423     15.9664    0.118697
         472     13.9552     15.9622    0.118522
         473     13.9685      15.958    0.118346
         474     14.0018     15.9538    0.118169
         475     14.0626     15.9498    0.117987
         476     14.1322      15.946    0.117801
         477     14.1749     15.9423    0.117612
         478     14.1611     15.9386    0.117425
         479     14.0853     15.9347    0.117244
         480     13.9799     15.9306     0.11707
         481     13.9067     15.9264    0.116903
         482     13.9055     15.9222    0.116735
