#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         308     15.2067     14.1863   0.0140547
         309     15.2383     14.1897   0.0144157
         310     15.2707     14.1932   0.0147849
         311     15.3011     14.1968   0.0151605
         312     15.3277     14.2004   0.0155391
         313     15.3521     14.2041   0.0159192
         314     15.3786     14.2078    0.016302
         315     15.4119     14.2116   0.0166924
         316     15.4543     14.2156   0.0170965
         317     15.5026     14.2196    0.017518
         318     15.5487     14.2238   0.0179546
         319     15.5823     14.2281   0.0183965
         320      15.595     14.2323   0.0188284
         321     15.5841     14.2366   0.0192349
         322     15.5522     14.2406   0.0196043
         323     15.5037     14.2446   0.0199298
         324      15.447     14.2483   0.0202109
         325     15.4082     14.2518   0.0204614
         326     15.4275     14.2554    0.020714
         327     15.5136     14.2593    0.021005
         328     15.6258     14.2635   0.0213501
         329     15.7199     14.2679   0.0217393
         330     15.7756     14.2724   0.0221484
         331     15.7866      14.277   0.0225489
         332     15.7543     14.2815   0.0229158
         333     15.6964     14.2857   0.0232376
         334     15.6543     14.2898   0.0235265
         335      15.671     14.2939   0.0238148
         336     15.7492     14.2983   0.0241345
         337     15.8498     14.3029   0.0244981
         338     15.9372     14.3077   0.0248982
         339     16.0034     14.3127   0.0253222
         340      16.057     14.3178   0.0257622
         341     16.1029     14.3231   0.0262131
         342     16.1347     14.3284   0.0266663
         343      16.141     14.3337   0.0271071
         344     16.1147     14.3388   0.0275184
         345     16.0591     14.3438   0.0278867
         346     15.9911     14.3486   0.0282095
         347     15.9408     14.3532    0.028499
         348     15.9369     14.3577   0.0287781
         349      15.983     14.3624     0.02907
         350     16.0492     14.3672   0.0293838
         351      16.097     14.3721   0.0297105
         352     16.1261     14.3771    0.030041
         353     16.1834     14.3822   0.0303886
         354     16.2898     14.3876   0.0307768
         355     16.4069     14.3933   0.0312114
         356     16.4996     14.3992   0.0316795
         357     16.5623     14.4053    0.032165
         358     16.5961     14.4114   0.0326521
         359     16.5982     14.4175   0.0331245
