#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         586     20.6343     23.3836    0.150848
         587     20.6833      23.379    0.150661
         588     20.7485     23.3745    0.150471
         589     20.8208     23.3702    0.150278
         590     20.8906      23.366    0.150082
         591     20.9514     23.3619    0.149884
         592     20.9996     23.3579    0.149684
         593     21.0325      23.354    0.149483
         594     21.0448     23.3501    0.149282
         595     21.0278     23.3462    0.149082
         596     20.9718     23.3422    0.148885
         597     20.8731     23.3381    0.148693
         598     20.7425     23.3338    0.148507
         599     20.6122     23.3292    0.148329
         600     20.5272     23.3245    0.148155
         601     20.5207     23.3199    0.147982
         602     20.5883     23.3153    0.147806
         603      20.688      23.311    0.147625
         604     20.7709     23.3068    0.147441
         605     20.8111     23.3027    0.147255
         606     20.8119     23.2985    0.147069
         607     20.7902     23.2944    0.146885
         608     20.7673     23.2903    0.146702
         609     20.7739     23.2861    0.146519
         610     20.8413     23.2821    0.146334
         611     20.9701     23.2783    0.146143
         612     21.1221     23.2748    0.145947
         613     21.2509     23.2715    0.145746
         614     21.3312     23.2684    0.145543
         615     21.3588     23.2652    0.145339
         616     21.3388     23.2621    0.145137
         617     21.2806     23.2589    0.144937
         618     21.2012     23.2556    0.144741
         619     21.1277     23.2521    0.144548
         620     21.0876     23.2486    0.144357
         621     21.0887     23.2452    0.144167
         622     21.1148     23.2417    0.143975
         623     21.1432     23.2384    0.143784
         624     21.1589      23.235    0.143592
         625     21.1546     23.2317    0.143401
         626     21.1276     23.2284    0.143211
         627     21.0784     23.2249    0.143024
         628     21.0115     23.2214    0.142839
         629     20.9361     23.2178    0.142659
         630     20.8731      23.214    0.142481
         631     20.8609     23.2103    0.142304
         632      20.924     23.2067    0.142124
         633     21.0292     23.2033    0.141942
         634     21.1145        23.2    0.141756
         635     21.1445     23.1967     0.14157
         636     21.1156     23.1935    0.141385
         637     21.0339     23.1901    0.141203
         638     20.9054     23.1865    0.141028
         639     20.7523     23.1827    0.140858
         640      20.643     23.1787    0.140694
         641     20.6624     23.1748    0.140529
         642     20.8055     23.1711    0.140359
         643     20.9794     23.1677    0.140182
         644     21.1153     23.1645    0.140001
         645     21.2019     23.1615    0.139817
         646     21.2515     23.1585    0.139631
         647     21.2763     23.1556    0.139446
